"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","999","test_invalid_login[-secret_sauce-Username is required]","tests.login","Sat Sep 27 12:58:10 GMT+07:00 2025","passed","Sat Sep 27 12:58:11 GMT+07:00 2025","","invalid_login_test","",""
"","340","test_totals_with_empty_cart","tests.cart","Sat Sep 27 12:57:46 GMT+07:00 2025","passed","Sat Sep 27 12:57:46 GMT+07:00 2025","TestCartTotals","cart_total_test","",""
"","1055","test_valid_login","tests.login","Sat Sep 27 12:58:24 GMT+07:00 2025","passed","Sat Sep 27 12:58:25 GMT+07:00 2025","","valid_login_test","",""
"","976","test_invalid_login[invalid_user-secret_sauce-Username and password do not match]","tests.login","Sat Sep 27 12:58:17 GMT+07:00 2025","passed","Sat Sep 27 12:58:18 GMT+07:00 2025","","invalid_login_test","",""
"","1043","test_invalid_login[locked_out_user-secret_sauce-Sorry]","tests.login","Sat Sep 27 12:58:22 GMT+07:00 2025","passed","Sat Sep 27 12:58:23 GMT+07:00 2025","","invalid_login_test","",""
"","415","test_order_total_includes_tax","tests.cart","Sat Sep 27 12:57:43 GMT+07:00 2025","passed","Sat Sep 27 12:57:43 GMT+07:00 2025","TestCartTotals","cart_total_test","",""
"","207","Validate checkout form errors for missing/invalid data: , , ","tests.checkout","Sat Sep 27 12:58:09 GMT+07:00 2025","passed","Sat Sep 27 12:58:09 GMT+07:00 2025","TestCheckoutValidations","checkout_validation_test","",""
"","215","Validate checkout form errors for missing/invalid data: , Smith, 12345","tests.checkout","Sat Sep 27 12:58:01 GMT+07:00 2025","passed","Sat Sep 27 12:58:01 GMT+07:00 2025","TestCheckoutValidations","checkout_validation_test","",""
"","1091","test_invalid_login[--Username is required]","tests.login","Sat Sep 27 12:58:15 GMT+07:00 2025","passed","Sat Sep 27 12:58:16 GMT+07:00 2025","","invalid_login_test","",""
"","104","Test sorting dropdown: Name (Z to A)","tests.sort","Sat Sep 27 12:59:21 GMT+07:00 2025","passed","Sat Sep 27 12:59:21 GMT+07:00 2025","TestSortingDropdown","sorting_dropdown_test","",""
"","164","test_continue_shopping_step_one","tests.checkout","Sat Sep 27 12:57:51 GMT+07:00 2025","passed","Sat Sep 27 12:57:51 GMT+07:00 2025","TestCheckoutFlow","checkout_flow_test","",""
"","1028","test_invalid_login[standard_user-wrongpass-Username and password do not match]","tests.login","Sat Sep 27 12:58:19 GMT+07:00 2025","passed","Sat Sep 27 12:58:21 GMT+07:00 2025","","invalid_login_test","",""
"","377","test_cancel_checkout_step_one","tests.checkout","Sat Sep 27 12:57:56 GMT+07:00 2025","passed","Sat Sep 27 12:57:56 GMT+07:00 2025","TestCheckoutFlow","checkout_flow_test","",""
"","458","test_item_total_updates_on_remove","tests.cart","Sat Sep 27 12:57:40 GMT+07:00 2025","passed","Sat Sep 27 12:57:41 GMT+07:00 2025","TestCartTotals","cart_total_test","",""
"","421","test_cancel_checkout_step_two","tests.checkout","Sat Sep 27 12:57:53 GMT+07:00 2025","passed","Sat Sep 27 12:57:53 GMT+07:00 2025","TestCheckoutFlow","checkout_flow_test","",""
"","3533","test_about_link","tests.navigation","Sat Sep 27 12:58:33 GMT+07:00 2025","passed","Sat Sep 27 12:58:37 GMT+07:00 2025","TestNavigationMenu","test_navigation_menu","",""
"","218","Validate checkout form errors for missing/invalid data: John, Doe, ","tests.checkout","Sat Sep 27 12:58:06 GMT+07:00 2025","passed","Sat Sep 27 12:58:07 GMT+07:00 2025","TestCheckoutValidations","checkout_validation_test","",""
"","431","test_happy_path_checkout","tests.checkout","Sat Sep 27 12:57:48 GMT+07:00 2025","passed","Sat Sep 27 12:57:49 GMT+07:00 2025","TestCheckoutFlow","checkout_flow_test","",""
"","10249","Remove all items from cart page and verify","tests.cart","Sat Sep 27 12:57:22 GMT+07:00 2025","passed","Sat Sep 27 12:57:32 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","70","Add one product by index and check cart count","tests.cart","Sat Sep 27 12:57:00 GMT+07:00 2025","passed","Sat Sep 27 12:57:00 GMT+07:00 2025","TestCartCount","cart_count_test","",""
